stem,symbol,name,sector,industry
HBM,HBM,Hudbay Minerals Inc.,Materials,Copper
HCA,HCA,"HCA Healthcare, Inc.",Health Care,Medical Care Facilities
HD,HD,"The Home Depot, Inc.",Consumer Discretionary,Home Improvement Retail
HEI,HEI,HEICO Corporation,Industrials,Aerospace & Defense
HIG,HIG,"The Hartford Insurance Group, Inc.",Financials,Insurance - Diversified
HII,HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense
HLT,HLT,Hilton Worldwide Holdings Inc.,Consumer Discretionary,Lodging
HON,HON,Honeywell International Inc.,Industrials,Conglomerates
HOOD,HOOD,"Robinhood Markets, Inc.",Financials,Capital Markets
HPE,HPE,Hewlett Packard Enterprise Company,Information Technology,Communication Equipment
HPQ,HPQ,HP Inc.,Information Technology,Computer Hardware
HRL,HRL,Hormel Foods Corporation,Consumer Staples,Packaged Foods
HSIC,HSIC,"Henry Schein, Inc.",Health Care,Medical Distribution
HST,HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel
HSY,HSY,The Hershey Company,Consumer Staples,Confectioners
HUBB,HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts
HUBS,HUBS,"HubSpot, Inc.",Information Technology,Software - Application
HUM,HUM,Humana Inc.,Health Care,Healthcare Plans
HWM,HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense
IBKR,IBKR,"Interactive Brokers Group, Inc.",Financials,Capital Markets
IBM,IBM,International Business Machines Corporation,Information Technology,Information Technology Services
ICE,ICE,"Intercontinental Exchange, Inc.",Financials,Financial Data & Stock Exchanges
IDXX,IDXX,"IDEXX Laboratories, Inc.",Health Care,Diagnostics & Research
IESC,IESC,"IES Holdings, Inc.",Industrials,Engineering & Construction
IEX,IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery
IFF,IFF,International Flavors & Fragrances Inc.,Materials,Specialty Chemicals
INCY,INCY,Incyte Corporation,Health Care,Biotechnology
INDI,INDI,"indie Semiconductor, Inc.",Information Technology,Semiconductors
INIO,INIO,Innio N.V.,Industrials,Specialty Industrial Machinery
INTC,INTC,Intel Corporation,Information Technology,Semiconductors
INTU,INTU,Intuit Inc.,Information Technology,Software - Application
INVH,INVH,Invitation Homes Inc.,Real Estate,REIT - Residential
IP,IP,International Paper Company,Consumer Discretionary,Packaging & Containers
IQV,IQV,IQVIA Holdings Inc.,Health Care,Diagnostics & Research
IR,IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery
IRDM,IRDM,Iridium Communications Inc.,Communication Services,Telecom Services
IREN,IREN,IREN Limited,Financials,Capital Markets
IRM,IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty
ISRG,ISRG,"Intuitive Surgical, Inc.",Health Care,Medical Instruments & Supplies
IT,IT,"Gartner, Inc.",Information Technology,Information Technology Services
ITW,ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery
IVZ,IVZ,Invesco Ltd.,Financials,Asset Management
J,J,Jacobs Solutions Inc.,Industrials,Engineering & Construction
JBHT,JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics
JBL,JBL,Jabil Inc.,Information Technology,Electronic Components
JCI,JCI,Johnson Controls International plc,Industrials,Building Products & Equipment
JKHY,JKHY,"Jack Henry & Associates, Inc.",Information Technology,Information Technology Services
JNJ,JNJ,Johnson & Johnson,Health Care,Drug Manufacturers - General
JP4062,4062.T,"Ibiden Co.,Ltd.",Information Technology,Electronic Components
JP5802,5802.T,"Sumitomo Electric Industries, Ltd.",Consumer Discretionary,Auto Parts
JP5803,5803.T,Fujikura Ltd.,Industrials,Conglomerates
JP6674,6674.T,GS Yuasa Corporation,Consumer Discretionary,Auto Parts
JP6857,6857.T,Advantest Corporation,Information Technology,Semiconductor Equipment & Materials
JP6981,6981.T,"Murata Manufacturing Co., Ltd.",Information Technology,Electronic Components
JP7011,7011.T,"Mitsubishi Heavy Industries, Ltd.",Industrials,Specialty Industrial Machinery
JP8035,8035.T,Tokyo Electron Limited,Information Technology,Semiconductor Equipment & Materials
JPM,JPM,JPMorgan Chase & Co.,Financials,Banks - Diversified
KDP,KDP,Keurig Dr Pepper Inc.,Consumer Staples,Beverages - Non-Alcoholic
KEY,KEY,KeyCorp,Financials,Banks - Regional
KEYS,KEYS,"Keysight Technologies, Inc.",Information Technology,Scientific & Technical Instruments
KHC,KHC,The Kraft Heinz Company,Consumer Staples,Packaged Foods
KIM,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail
KITT,KITT,"Nauticus Robotics, Inc.",Industrials,Aerospace & Defense
KKR,KKR,KKR & Co. Inc.,Financials,Asset Management
KLAC,KLAC,KLA Corporation,Information Technology,Semiconductor Equipment & Materials
KLIC,KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,Semiconductor Equipment & Materials
KMB,KMB,Kimberly-Clark Corporation,Consumer Staples,Household & Personal Products
KMI,KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream
KO,KO,The Coca-Cola Company,Consumer Staples,Beverages - Non-Alcoholic
KR,KR,The Kroger Co.,Consumer Staples,Grocery Stores
KTOS,KTOS,"Kratos Defense & Security Solutions, Inc.",Industrials,Aerospace & Defense
KVUE,KVUE,Kenvue Inc.,Consumer Staples,Household & Personal Products
L,L,Loews Corporation,Financials,Insurance - Property & Casualty
LDOS,LDOS,"Leidos Holdings, Inc.",Information Technology,Information Technology Services
LEN,LEN,Lennar Corporation,Consumer Discretionary,Residential Construction
LEU,LEU,Centrus Energy Corp.,Energy,Uranium
LH,LH,Labcorp Holdings Inc.,Health Care,Diagnostics & Research
LHX,LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense
LII,LII,Lennox International Inc.,Industrials,Building Products & Equipment
LIN,LIN,Linde plc,Materials,Specialty Chemicals
LITE,LITE,Lumentum Holdings Inc.,Information Technology,Communication Equipment
LLY,LLY,Eli Lilly and Company,Health Care,Drug Manufacturers - General
LMT,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense
LNT,LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric
LOW,LOW,"Lowe's Companies, Inc.",Consumer Discretionary,Home Improvement Retail
LRCX,LRCX,Lam Research Corporation,Information Technology,Semiconductor Equipment & Materials
LSCC,LSCC,Lattice Semiconductor Corporation,Information Technology,Semiconductors
LULU,LULU,lululemon athletica inc.,Consumer Discretionary,Apparel Retail
LUNR,LUNR,"Intuitive Machines, Inc.",Industrials,Aerospace & Defense
LUV,LUV,Southwest Airlines Co.,Industrials,Airlines
LVS,LVS,Las Vegas Sands Corp.,Consumer Discretionary,Resorts & Casinos
LYB,LYB,LyondellBasell Industries N.V.,Materials,Specialty Chemicals
LYV,LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment
MA,MA,Mastercard Incorporated,Financials,Credit Services
MAA,MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential
MAR,MAR,"Marriott International, Inc.",Consumer Discretionary,Lodging
MAS,MAS,Masco Corporation,Industrials,Building Products & Equipment
MBLY,MBLY,Mobileye Global Inc.,Consumer Discretionary,Auto Parts
MCD,MCD,McDonald's Corporation,Consumer Discretionary,Restaurants
MCHP,MCHP,Microchip Technology Incorporated,Information Technology,Semiconductors
MCK,MCK,McKesson Corporation,Health Care,Medical Distribution
MCO,MCO,Moody's Corporation,Financials,Financial Data & Stock Exchanges
MDB,MDB,"MongoDB, Inc.",Information Technology,Software - Infrastructure
MDLZ,MDLZ,"Mondelez International, Inc.",Consumer Staples,Confectioners
MDT,MDT,Medtronic plc,Health Care,Medical Devices
MET,MET,"MetLife, Inc.",Financials,Insurance - Life
META,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information
MGM,MGM,MGM Resorts International,Consumer Discretionary,Resorts & Casinos
MKC,MKC,"McCormick & Company, Incorporated",Consumer Staples,Packaged Foods
MLM,MLM,"Martin Marietta Materials, Inc.",Materials,Building Materials
MMM,MMM,3M Company,Industrials,Conglomerates
MNST,MNST,Monster Beverage Corporation,Consumer Staples,Beverages - Non-Alcoholic
MO,MO,"Altria Group, Inc.",Consumer Staples,Tobacco
MOD,MOD,Modine Manufacturing Company,Consumer Discretionary,Auto Parts
MOS,MOS,The Mosaic Company,Materials,Agricultural Inputs
MP,MP,MP Materials Corp.,Materials,Other Industrial Metals & Mining
MPC,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing
MPWR,MPWR,"Monolithic Power Systems, Inc.",Information Technology,Semiconductors
MRAM,MRAM,"Everspin Technologies, Inc.",Information Technology,Semiconductors
MRCY,MRCY,"Mercury Systems, Inc.",Industrials,Aerospace & Defense
MRK,MRK,"Merck & Co., Inc.",Health Care,Drug Manufacturers - General
MRNA,MRNA,"Moderna, Inc.",Health Care,Biotechnology
MRSH,MRSH,"Marsh & McLennan Companies, Inc.",Financials,Insurance Brokers
MRVL,MRVL,"Marvell Technology, Inc.",Information Technology,Semiconductors
MS,MS,Morgan Stanley,Financials,Capital Markets
MSCI,MSCI,MSCI Inc.,Financials,Financial Data & Stock Exchanges
MSFT,MSFT,Microsoft Corporation,Information Technology,Software - Infrastructure
MSI,MSI,"Motorola Solutions, Inc.",Information Technology,Communication Equipment
MTB,MTB,M&T Bank Corporation,Financials,Banks - Regional
MTD,MTD,Mettler-Toledo International Inc.,Health Care,Diagnostics & Research
MTZ,MTZ,"MasTec, Inc.",Industrials,Engineering & Construction
MU,MU,"Micron Technology, Inc.",Information Technology,Semiconductors
MYRG,MYRG,MYR Group Inc.,Industrials,Engineering & Construction
NBIS,NBIS,Nebius Group N.V.,Communication Services,Internet Content & Information
NCLH,NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Discretionary,Travel Services
NDAQ,NDAQ,"Nasdaq, Inc.",Financials,Financial Data & Stock Exchanges
NDSN,NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery
NEE,NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric
NEM,NEM,Newmont Corporation,Materials,Gold
NET,NET,"Cloudflare, Inc.",Information Technology,Software - Infrastructure
NFLX,NFLX,"Netflix, Inc.",Communication Services,Entertainment
NI,NI,NiSource Inc.,Utilities,Utilities - Regulated Gas
NKE,NKE,"NIKE, Inc.",Consumer Discretionary,Footwear & Accessories
NOC,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense
NOVT,NOVT,Novanta Inc.,Information Technology,Scientific & Technical Instruments
NOW,NOW,"ServiceNow, Inc.",Information Technology,Software - Application
NRG,NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers
NSC,NSC,Norfolk Southern Corporation,Industrials,Railroads
NTAP,NTAP,"NetApp, Inc.",Information Technology,Software - Infrastructure
NTRS,NTRS,Northern Trust Corporation,Financials,Asset Management
NUE,NUE,Nucor Corporation,Materials,Steel
NVDA,NVDA,NVIDIA Corporation,Information Technology,Semiconductors
NVR,NVR,"NVR, Inc.",Consumer Discretionary,Residential Construction
NWS,NWS,News Corporation,Communication Services,Entertainment
NWSA,NWSA,News Corporation,Communication Services,Entertainment
NXE,NXE,NexGen Energy Ltd.,Energy,Uranium
NXPI,NXPI,NXP Semiconductors N.V.,Information Technology,Semiconductors
NXT,NXT,Nextpower Inc.,Information Technology,Solar
O,O,Realty Income Corporation,Real Estate,REIT - Retail
ODFL,ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking
OKE,OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream
OKLO,OKLO,Oklo Inc.,Utilities,Utilities - Independent Power Producers
OKTA,OKTA,"Okta, Inc.",Information Technology,Software - Infrastructure
OMC,OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies
ON,ON,ON Semiconductor Corporation,Information Technology,Semiconductors
ORCL,ORCL,Oracle Corporation,Information Technology,Software - Infrastructure
ORLY,ORLY,"O'Reilly Automotive, Inc.",Consumer Discretionary,Auto Parts
OSK,OSK,Oshkosh Corporation,Industrials,Farm & Heavy Construction Machinery
OTIS,OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery
OUST,OUST,"Ouster, Inc.",Information Technology,Electronic Components
OXY,OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P
PANW,PANW,"Palo Alto Networks, Inc.",Information Technology,Software - Infrastructure
PATH,PATH,"UiPath, Inc.",Information Technology,Software - Infrastructure
PAYX,PAYX,"Paychex, Inc.",Information Technology,Software - Application
PCAR,PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery
PCG,PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric
PEG,PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric
PENG,PENG,"Penguin Solutions, Inc.",Information Technology,Information Technology Services
PEP,PEP,"PepsiCo, Inc.",Consumer Staples,Beverages - Non-Alcoholic
PFE,PFE,Pfizer Inc.,Health Care,Drug Manufacturers - General
PFG,PFG,"Principal Financial Group, Inc.",Financials,Asset Management
PG,PG,The Procter & Gamble Company,Consumer Staples,Household & Personal Products
PGR,PGR,The Progressive Corporation,Financials,Insurance - Property & Casualty
PH,PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery
PHM,PHM,"PulteGroup, Inc.",Consumer Discretionary,Residential Construction
PKG,PKG,Packaging Corporation of America,Consumer Discretionary,Packaging & Containers
PL,PL,Planet Labs PBC,Industrials,Aerospace & Defense
PLD,PLD,"Prologis, Inc.",Real Estate,REIT - Industrial
PLTR,PLTR,Palantir Technologies Inc.,Information Technology,Software - Infrastructure
PLUG,PLUG,Plug Power Inc.,Industrials,Electrical Equipment & Parts
PM,PM,Philip Morris International Inc.,Consumer Staples,Tobacco
PNC,PNC,"The PNC Financial Services Group, Inc.",Financials,Banks - Regional
PNR,PNR,Pentair plc,Industrials,Specialty Industrial Machinery
PNW,PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric
PODD,PODD,Insulet Corporation,Health Care,Medical Devices
POWI,POWI,"Power Integrations, Inc.",Information Technology,Semiconductors
POWL,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts
PPG,PPG,"PPG Industries, Inc.",Materials,Specialty Chemicals
PPL,PPL,PPL Corporation,Utilities,Utilities - Regulated Electric
PRIM,PRIM,Primoris Services Corporation,Industrials,Engineering & Construction
PRU,PRU,"Prudential Financial, Inc.",Financials,Insurance - Life
PSA,PSA,Public Storage,Real Estate,REIT - Industrial
PSKY,PSKY,Paramount Skydance Corporation,Communication Services,Entertainment
PSX,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PTC,PTC,PTC Inc.,Information Technology,Software - Application
PWR,PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction
PYPL,PYPL,"PayPal Holdings, Inc.",Financials,Credit Services
Q,Q,"Qnity Electronics, Inc.",Information Technology,Semiconductor Equipment & Materials
QCOM,QCOM,QUALCOMM Incorporated,Information Technology,Semiconductors
RCAT,RCAT,"Red Cat Holdings, Inc.",Industrials,Aerospace & Defense
RCL,RCL,Royal Caribbean Cruises Ltd.,Consumer Discretionary,Travel Services
RDDT,RDDT,"Reddit, Inc.",Communication Services,Internet Content & Information
RDW,RDW,Redwire Corporation,Industrials,Aerospace & Defense
REG,REG,Regency Centers Corporation,Real Estate,REIT - Retail
REGN,REGN,"Regeneron Pharmaceuticals, Inc.",Health Care,Biotechnology
RF,RF,Regions Financial Corporation,Financials,Banks - Regional
RJF,RJF,"Raymond James Financial, Inc.",Financials,Asset Management
RKLB,RKLB,Rocket Lab Corporation,Industrials,Aerospace & Defense
RL,RL,Ralph Lauren Corporation,Consumer Discretionary,Apparel Manufacturing
RMD,RMD,ResMed Inc.,Health Care,Medical Instruments & Supplies
ROK,ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery
ROL,ROL,"Rollins, Inc.",Consumer Discretionary,Personal Services
ROP,ROP,"Roper Technologies, Inc.",Information Technology,Software - Application
ROST,ROST,"Ross Stores, Inc.",Consumer Discretionary,Apparel Retail
RR,RR,Richtech Robotics Inc.,Industrials,Specialty Industrial Machinery
RSG,RSG,"Republic Services, Inc.",Industrials,Waste Management
RTX,RTX,RTX Corporation,Industrials,Aerospace & Defense
RUN,RUN,Sunrun Inc.,Information Technology,Solar
RVTY,RVTY,"Revvity, Inc.",Health Care,Diagnostics & Research
S,S,"SentinelOne, Inc.",Information Technology,Software - Infrastructure
SBAC,SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty
SBUX,SBUX,Starbucks Corporation,Consumer Discretionary,Restaurants
SCCO,SCCO,Southern Copper Corporation,Materials,Copper
SCHW,SCHW,The Charles Schwab Corporation,Financials,Capital Markets
SEDG,SEDG,"SolarEdge Technologies, Inc.",Information Technology,Solar
SERV,SERV,Serve Robotics Inc.,Industrials,Specialty Industrial Machinery
SHLS,SHLS,"Shoals Technologies Group, Inc.",Information Technology,Solar
SHOP,SHOP,Shopify Inc.,Information Technology,Software - Application
SHW,SHW,The Sherwin-Williams Company,Materials,Specialty Chemicals
SIEMENS_ENERGY,ENR.DE,Siemens Energy AG,Industrials,Specialty Industrial Machinery
SJM,SJM,The J. M. Smucker Company,Consumer Staples,Packaged Foods
SLB,SLB,SLB N.V.,Energy,Oil & Gas Equipment & Services
SMCI,SMCI,"Super Micro Computer, Inc.",Information Technology,Computer Hardware
SMR,SMR,NuScale Power Corporation,Industrials,Specialty Industrial Machinery
SNA,SNA,Snap-on Incorporated,Industrials,Tools & Accessories
SNDK,SNDK,Sandisk Corporation,Information Technology,Computer Hardware
SNOW,SNOW,Snowflake Inc.,Information Technology,Software - Application
SNPS,SNPS,"Synopsys, Inc.",Information Technology,Software - Infrastructure
SO,SO,The Southern Company,Utilities,Utilities - Regulated Electric
SOLS,SOLS,"Solstice Advanced Materials, Inc.",Materials,Specialty Chemicals
SOLV,SOLV,Solventum Corporation,Health Care,Medical Instruments & Supplies
SPCX,SPCX,Space Exploration Technologies Corp.,Industrials,Aerospace & Defense
SPG,SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail
SPGI,SPGI,S&P Global Inc.,Financials,Financial Data & Stock Exchanges
SRE,SRE,Sempra,Utilities,Utilities - Diversified
STE,STE,STERIS plc,Health Care,Medical Devices
STLD,STLD,"Steel Dynamics, Inc.",Materials,Steel
STM,STM,STMicroelectronics N.V.,Information Technology,Semiconductors
STRL,STRL,"Sterling Infrastructure, Inc.",Industrials,Engineering & Construction
STT,STT,State Street Corporation,Financials,Asset Management
STX,STX,Seagate Technology Holdings plc,Information Technology,Computer Hardware
STZ,STZ,"Constellation Brands, Inc.",Consumer Staples,Beverages - Brewers
SW,SW,Smurfit Westrock Plc,Consumer Discretionary,Packaging & Containers
SWK,SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories
SWKS,SWKS,"Skyworks Solutions, Inc.",Information Technology,Semiconductors
SYF,SYF,Synchrony Financial,Financials,Credit Services
SYK,SYK,Stryker Corporation,Health Care,Medical Devices
SYM,SYM,Symbotic Inc.,Industrials,Specialty Industrial Machinery
SYY,SYY,Sysco Corporation,Consumer Staples,Food Distribution
T,T,AT&T Inc.,Communication Services,Telecom Services
TAP,TAP,Molson Coors Beverage Company,Consumer Staples,Beverages - Brewers
TDG,TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense
TDY,TDY,Teledyne Technologies Incorporated,Information Technology,Scientific & Technical Instruments
TEAM,TEAM,Atlassian Corporation,Information Technology,Software - Application
TECH,TECH,Bio-Techne Corporation,Health Care,Biotechnology
TECK,TECK,Teck Resources Limited,Materials,Copper
TEL,TEL,TE Connectivity plc,Information Technology,Electronic Components
TER,TER,"Teradyne, Inc.",Information Technology,Semiconductor Equipment & Materials
TFC,TFC,Truist Financial Corporation,Financials,Banks - Regional
TGT,TGT,Target Corporation,Consumer Staples,Discount Stores
TJX,TJX,"The TJX Companies, Inc.",Consumer Discretionary,Apparel Retail
TKO,TKO,"TKO Group Holdings, Inc.",Communication Services,Entertainment
TMO,TMO,Thermo Fisher Scientific Inc.,Health Care,Diagnostics & Research
TMUS,TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services
TPL,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P
TPR,TPR,"Tapestry, Inc.",Consumer Discretionary,Luxury Goods
TRGP,TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream
TRMB,TRMB,Trimble Inc.,Information Technology,Scientific & Technical Instruments
TROW,TROW,"T. Rowe Price Group, Inc.",Financials,Asset Management
TRV,TRV,"The Travelers Companies, Inc.",Financials,Insurance - Property & Casualty
TSCO,TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail
TSLA,TSLA,"Tesla, Inc.",Consumer Discretionary,Auto Manufacturers
